P_central,Radius_km,Mass_Msun
1e-07,17.4811,0.10408
1.01e-07,17.4791,0.104583
1.0201e-07,17.477,0.105088
1.0303e-07,17.4749,0.105596
1.0406e-07,17.4739,0.106106
1.05101e-07,17.4707,0.106618
1.06152e-07,17.4677,0.107132
1.07214e-07,17.4838,0.107653
1.08286e-07,17.4818,0.108173
1.09369e-07,17.4803,0.108695
1.10462e-07,17.478,0.109219
1.11567e-07,17.476,0.109746
1.12683e-07,17.4739,0.110275
1.13809e-07,17.4718,0.110807
1.14947e-07,17.4713,0.111342
1.16097e-07,17.4692,0.111878
1.17258e-07,17.467,0.112418
1.1843e-07,17.4647,0.112959
1.19615e-07,17.4625,0.113504
1.20811e-07,17.4603,0.11405
1.22019e-07,17.4581,0.1146
1.23239e-07,17.4733,0.115155
1.24472e-07,17.4713,0.11571
1.25716e-07,17.4692,0.116267
1.26973e-07,17.4672,0.116826
1.28243e-07,17.4657,0.117389
1.29526e-07,17.4636,0.117954
1.30821e-07,17.4612,0.118521
1.32129e-07,17.4591,0.119091
1.3345e-07,17.457,0.119664
1.34785e-07,17.4548,0.120239
1.36133e-07,17.4527,0.120817
1.37494e-07,17.4505,0.121398
1.38869e-07,17.4494,0.121981
1.40258e-07,17.4637,0.122571
1.4166e-07,17.4616,0.12316
1.43077e-07,17.4596,0.123752
1.44508e-07,17.4571,0.124346
1.45953e-07,17.4551,0.124943
1.47412e-07,17.4529,0.125543
1.48886e-07,17.4508,0.126145
1.50375e-07,17.4483,0.12675
1.51879e-07,17.4462,0.127358
1.53398e-07,17.444,0.127969
1.54932e-07,17.4423,0.128583
1.56481e-07,17.4401,0.1292
1.58046e-07,17.4536,0.129822
1.59626e-07,17.4524,0.130445
1.61223e-07,17.4503,0.13107
1.62835e-07,17.4482,0.131698
1.64463e-07,17.4461,0.132329
1.66108e-07,17.4429,0.132963
1.67769e-07,17.4422,0.1336
1.69447e-07,17.4399,0.134239
1.71141e-07,17.4378,0.134882
1.72852e-07,17.4356,0.135527
1.74581e-07,17.4334,0.136176
1.76327e-07,17.4312,0.136827
1.7809e-07,17.4289,0.137481
1.79871e-07,17.4415,0.138142
1.8167e-07,17.4395,0.138802
1.83486e-07,17.4374,0.139466
1.85321e-07,17.4353,0.140132
1.87174e-07,17.433,0.140802
1.89046e-07,17.4309,0.141475
1.90937e-07,17.4287,0.14215
1.92846e-07,17.4266,0.142829
1.94774e-07,17.4238,0.143511
1.96722e-07,17.4221,0.144196
1.98689e-07,17.4198,0.144884
2.00676e-07,17.4173,0.145575
2.02683e-07,17.4292,0.146272
2.0471e-07,17.4272,0.14697
2.06757e-07,17.4262,0.147671
2.08825e-07,17.4241,0.148375
2.10913e-07,17.4219,0.149082
2.13022e-07,17.4198,0.149792
2.15152e-07,17.4176,0.150506
2.17304e-07,17.4157,0.151222
2.19477e-07,17.4133,0.151942
2.21672e-07,17.4111,0.152666
2.23888e-07,17.4088,0.153392
2.26127e-07,17.4077,0.154122
2.28388e-07,17.4054,0.154855
2.30672e-07,17.4031,0.155592
2.32979e-07,17.4141,0.156334
2.35309e-07,17.412,0.157078
2.37662e-07,17.4098,0.157824
2.40038e-07,17.4077,0.158574
2.42439e-07,17.4055,0.159327
